pubchem_sid	brd_id
376251556	BRD-K65392837
376251555	BRD-K65288870
376251554	BRD-K65143450
376251553	BRD-K64361283
376251552	BRD-K63854765
376251551	BRD-K57598679
376251550	BRD-K53252767
376251549	BRD-K52120304
376251548	BRD-K52009150
376251547	BRD-K49663996
376251546	BRD-K46587835
376251545	BRD-K44446577
376251544	BRD-K43521815
376251543	BRD-K40348016
376251542	BRD-K38071039
376251541	BRD-K34245999
376251540	BRD-K34075049
376251539	BRD-K33443524
376251538	BRD-K31577013
376251537	BRD-K26684464
376251536	BRD-K24028215
376251535	BRD-K24018792
376251534	BRD-K23948587
376251533	BRD-K22879570
376251532	BRD-K20984993
376251531	BRD-K19622290
376251530	BRD-K19560209
376251529	BRD-K14712366
376251528	BRD-K13814636
376251527	BRD-K12032000
376251526	BRD-K11669722
376251525	BRD-K11667641
376251524	BRD-K10216835
376251523	BRD-K09583609
376251522	BRD-K06543113
376251521	BRD-K06284683
376251520	BRD-K05638098
376251519	BRD-K05401864
376251518	BRD-K04722012
376251517	BRD-K03201157
376251516	BRD-K99798532
376251515	BRD-K98341964
376251514	BRD-K96355446
376251513	BRD-K96164429
376251512	BRD-K96090481
376251511	BRD-K88937533
376251510	BRD-K88011439
376251509	BRD-K84674851
376251508	BRD-K82506675
376251507	BRD-K80351531
376251506	BRD-K79922886
376251505	BRD-K79099091
376251504	BRD-K77990307
376251503	BRD-K77453371
376251502	BRD-K76822533
376251501	BRD-K76041291
376251500	BRD-K75584976
376251499	BRD-K73216465
376251498	BRD-K72050364
376251497	BRD-K71321390
376251496	BRD-K70099563
376251495	BRD-K69201570
376251494	BRD-K67555702
376251493	BRD-K66428816
376251492	BRD-K65465226
376251491	BRD-K62221457
376251490	BRD-K60956242
376251489	BRD-K60707764
376251488	BRD-K59514049
376251487	BRD-K57255947
376251486	BRD-K56146108
376251485	BRD-K55901832
376251484	BRD-K55363846
376251483	BRD-K50055979
376251482	BRD-K48208318
376251481	BRD-K47910598
376251480	BRD-K46116454
376251479	BRD-K44701454
376251478	BRD-K44566262
376251477	BRD-K44211302
376251476	BRD-K43455955
376251475	BRD-K43305721
376251474	BRD-K43123933
376251473	BRD-K41379117
376251472	BRD-K40224873
376251471	BRD-K37486104
376251470	BRD-K34541220
376251469	BRD-K33507285
376251468	BRD-K31868899
376251467	BRD-K27809946
376251466	BRD-K26279431
376251465	BRD-K24940884
376251464	BRD-K24485082
376251463	BRD-K23387357
376251462	BRD-K20356995
376251461	BRD-K18852954
376251460	BRD-K18654465
376251459	BRD-K17003633
376251458	BRD-K16404981
376251457	BRD-K16362753
376251456	BRD-K16135732
376251455	BRD-K16030543
376251454	BRD-K15373267
376251453	BRD-K15048599
376251452	BRD-K05062909
376251451	BRD-K04784688
376251450	BRD-K02913710
376251449	BRD-K01900429
376251448	BRD-K98818707
376251447	BRD-K98172137
376251446	BRD-K97827359
376251445	BRD-K97670901
376251444	BRD-K94058898
376251443	BRD-K93666629
376251442	BRD-K90908227
376251441	BRD-K90414371
376251440	BRD-K90189516
376251439	BRD-K88592339
376251438	BRD-K88034160
376251437	BRD-K85349378
376251436	BRD-K85120562
376251435	BRD-K82066897
376251434	BRD-K80990128
376251433	BRD-K80749609
376251432	BRD-K72658299
376251431	BRD-K71616970
376251430	BRD-K71406322
376251429	BRD-K71125505
376251428	BRD-K69685778
376251427	BRD-K69373767
376251426	BRD-K68822857
376251425	BRD-K68486884
376251424	BRD-K67808289
376251423	BRD-K66516898
376251422	BRD-K63551982
376251421	BRD-K60682860
376251420	BRD-K59480758
376251419	BRD-K59038938
376251418	BRD-K57865553
376251417	BRD-K54548195
376251416	BRD-K52219746
376251415	BRD-K48543286
376251414	BRD-K43700492
376251413	BRD-K43322943
376251412	BRD-K41478704
376251411	BRD-K41292876
376251410	BRD-K41183069
376251409	BRD-K40650425
376251408	BRD-K38571534
376251407	BRD-K36567936
376251406	BRD-K36439008
376251405	BRD-K36269250
376251404	BRD-K35885110
376251403	BRD-K34490163
376251402	BRD-K32004141
376251401	BRD-K28924925
376251400	BRD-K27516810
376251399	BRD-K20537597
376251398	BRD-K19756093
376251397	BRD-K19259216
376251396	BRD-K18225392
376251395	BRD-K18008465
376251394	BRD-K16075470
376251393	BRD-K13013110
376251392	BRD-K12880442
376251391	BRD-K12661377
376251390	BRD-K07671047
376251389	BRD-K06817684
376251388	BRD-K06626858
376251387	BRD-K06006735
376251386	BRD-K00271637
376251385	BRD-K96416319
376251384	BRD-K95864841
376251383	BRD-K90599138
376251382	BRD-K85856694
376251381	BRD-K76292995
376251380	BRD-K43483014
376251379	BRD-K42199420
376251378	BRD-K35594019
376251377	BRD-K16319504
376251376	BRD-K03938551
376251375	BRD-K05113631
376251374	BRD-K58711739
376251373	BRD-K24342348
376251372	BRD-K61480616
376251371	BRD-K99756473
376251370	BRD-K99328103
376251369	BRD-K96112784
376251368	BRD-K96075030
376251367	BRD-K95232712
376251366	BRD-K95108375
376251365	BRD-K94990872
376251364	BRD-K94526799
376251363	BRD-K94492277
376251362	BRD-K94375199
376251361	BRD-K93005124
376251360	BRD-K92848905
376251359	BRD-K91887231
376251358	BRD-K91574406
376251357	BRD-K91250874
376251356	BRD-K89659732
376251355	BRD-K88863336
376251354	BRD-K88123314
376251353	BRD-K88076770
376251352	BRD-K86509563
376251351	BRD-K86221235
376251350	BRD-K86155524
376251349	BRD-K86064593
376251348	BRD-K85760250
376251347	BRD-K85686092
376251346	BRD-K84832828
376251345	BRD-K84686677
376251344	BRD-K84477707
376251343	BRD-K84157855
376251342	BRD-K83870368
376251341	BRD-K82980180
376251340	BRD-K82785998
376251339	BRD-K81343216
376251338	BRD-K80430864
376251337	BRD-K76074244
376251336	BRD-K75887830
376251335	BRD-K75779849
376251334	BRD-K74436250
376251333	BRD-K72941747
376251332	BRD-K71305993
376251331	BRD-K69826287
376251330	BRD-K69320887
376251329	BRD-K69187078
376251328	BRD-K69086606
376251327	BRD-K68131987
376251326	BRD-K67096632
376251325	BRD-K66727268
376251324	BRD-K64732683
376251323	BRD-K63981178
376251322	BRD-K63541992
376251321	BRD-K63463506
376251320	BRD-K63150131
376251319	BRD-K62247594
376251318	BRD-K62210401
376251317	BRD-K62116254
376251316	BRD-K61251395
376251315	BRD-K59286449
376251314	BRD-K59272001
376251313	BRD-K59213149
376251312	BRD-K58658188
376251311	BRD-K58643261
376251310	BRD-K58494111
376251309	BRD-K57778960
376251308	BRD-K57651824
376251307	BRD-K56001004
376251306	BRD-K55928252
376251305	BRD-K55718752
376251304	BRD-K55086843
376251303	BRD-K53905198
376251302	BRD-K53527448
376251301	BRD-K53486076
376251300	BRD-K53218403
376251299	BRD-K53120636
376251298	BRD-K52247840
376251297	BRD-K52028141
376251296	BRD-K51991757
376251295	BRD-K51797002
376251294	BRD-K49399916
376251293	BRD-K48305343
376251292	BRD-K48026571
376251291	BRD-K47882724
376251290	BRD-K46606483
376251289	BRD-K45131933
376251288	BRD-K44944115
376251287	BRD-K44678897
376251286	BRD-K43272352
376251285	BRD-K42034102
376251284	BRD-K41259911
376251283	BRD-K41165001
376251282	BRD-K41028898
376251281	BRD-K40312647
376251280	BRD-K39582658
376251279	BRD-K39160963
376251278	BRD-K39150968
376251277	BRD-K36877396
376251276	BRD-K35288122
376251275	BRD-K33910291
376251274	BRD-K33594832
376251273	BRD-K32856195
376251272	BRD-K31832150
376251271	BRD-K31166141
376251270	BRD-K30713292
376251269	BRD-K30355247
376251268	BRD-K30213125
376251267	BRD-K29489932
376251266	BRD-K29320582
376251265	BRD-K27834474
376251264	BRD-K27678729
376251263	BRD-K26523990
376251262	BRD-K24425588
376251261	BRD-K24113870
376251260	BRD-K23927789
376251259	BRD-K22345724
376251258	BRD-K22232962
376251257	BRD-K21882437
376251256	BRD-K21488949
376251255	BRD-K21146181
376251254	BRD-K18308246
376251253	BRD-K17526870
376251252	BRD-K17155280
376251251	BRD-K16688336
376251250	BRD-K16609038
376251249	BRD-K15705076
376251248	BRD-K15217882
376251247	BRD-K14953755
376251246	BRD-K14125977
376251245	BRD-K14095357
376251244	BRD-K13629223
376251243	BRD-K11569058
376251242	BRD-K10909460
376251241	BRD-K09223893
376251240	BRD-K08390405
376251239	BRD-K07457139
376251238	BRD-K07121407
376251237	BRD-K06619987
376251236	BRD-K06103662
376251235	BRD-K05600922
376251234	BRD-K04974687
376251233	BRD-K04052877
376251232	BRD-K03703498
376251231	BRD-K03594930
376251230	BRD-K03226857
376251229	BRD-K02953826
376251228	BRD-K01237094
376251227	BRD-K01077428
376251226	BRD-K96634879
376251225	BRD-K91590654
376251224	BRD-K89911393
376251223	BRD-K87718083
376251222	BRD-K87579603
376251221	BRD-K69123322
376251220	BRD-K60598810
376251219	BRD-K54446779
376251218	BRD-K51647234
376251217	BRD-K48039822
376251216	BRD-K43709817
376251215	BRD-K42421580
376251214	BRD-K35976777
376251213	BRD-K35335209
376251212	BRD-K31343389
376251211	BRD-K26840288
376251210	BRD-K26142651
376251209	BRD-K26066929
376251208	BRD-K25610936
376251207	BRD-K18055319
376251206	BRD-K11414238
376251205	BRD-K01904688
376251204	BRD-M97504074
376251203	BRD-M96615663
376251202	BRD-M95999891
376251201	BRD-M95847144
376251200	BRD-M93367604
376251199	BRD-M91020515
376251198	BRD-M90713290
376251197	BRD-M86739825
376251196	BRD-M86503199
376251195	BRD-M82644347
376251194	BRD-M82384212
376251193	BRD-M80760070
376251192	BRD-M80055796
376251191	BRD-M80053082
376251190	BRD-M79926629
376251189	BRD-M77653332
376251188	BRD-M75949635
376251187	BRD-M73937755
376251186	BRD-M73936863
376251185	BRD-M72736871
376251184	BRD-M69540675
376251183	BRD-M65161981
376251182	BRD-M59479801
376251181	BRD-M56075599
376251180	BRD-M53906486
376251179	BRD-M53384868
376251178	BRD-M51685639
376251177	BRD-M50371521
376251176	BRD-M50297492
376251175	BRD-M46909313
376251174	BRD-M45226708
376251173	BRD-M44046138
376251172	BRD-M42568723
376251171	BRD-M39359930
376251170	BRD-M39152583
376251169	BRD-M37003474
376251168	BRD-M35445997
376251167	BRD-M31241889
376251166	BRD-M31086234
376251165	BRD-M27504637
376251164	BRD-M24230674
376251163	BRD-M21900385
376251162	BRD-M21810499
376251161	BRD-M18076134
