pubchem_sid	brd_id
376252234	BRD-K99992083
376252233	BRD-K99866568
376252232	BRD-K95094737
376252231	BRD-K94510310
376252230	BRD-K93627375
376252229	BRD-K91884164
376252228	BRD-K85585491
376252227	BRD-K83486954
376252226	BRD-K79244086
376252225	BRD-K74755703
376252224	BRD-K72053857
376252223	BRD-K71039239
376252222	BRD-K70433152
376252221	BRD-K70237890
376252220	BRD-K65709832
376252219	BRD-K65105623
376252218	BRD-K63904934
376252217	BRD-K61686027
376252216	BRD-K60841372
376252215	BRD-K59982109
376252214	BRD-K57662140
376252213	BRD-K57458583
376252212	BRD-K54253080
376252211	BRD-K53637069
376252210	BRD-K53532525
376252209	BRD-K51816740
376252208	BRD-K51012280
376252207	BRD-K49404797
376252206	BRD-K47972870
376252205	BRD-K46434626
376252204	BRD-K45679404
376252203	BRD-K44945131
376252202	BRD-K43139820
376252201	BRD-K41131111
376252200	BRD-K40435908
376252199	BRD-K39121087
376252198	BRD-K35000686
376252197	BRD-K32746142
376252196	BRD-K32649041
376252195	BRD-K30829373
376252194	BRD-K27837583
376252193	BRD-K26989648
376252192	BRD-K25836579
376252191	BRD-K25786206
376252190	BRD-K24339332
376252189	BRD-K21193726
376252188	BRD-K19831051
376252187	BRD-K14612804
376252186	BRD-K13778600
376252185	BRD-K12949216
376252184	BRD-K09861328
376252183	BRD-K06123100
376252182	BRD-K05782507
376252181	BRD-K03751477
376252180	BRD-K03640905
376252179	BRD-K01471675
376252178	BRD-K00956791
376252177	BRD-K94646034
376252176	BRD-K69442681
376252175	BRD-K67395584
376252174	BRD-K65689938
376252173	BRD-K45326129
376252172	BRD-K40616683
376252171	BRD-K27635397
376252170	BRD-K23171868
376252169	BRD-K04590723
376252168	BRD-K99460746
376252167	BRD-K95938675
376252166	BRD-K95925965
376252165	BRD-K90380374
376252164	BRD-K81646612
376252163	BRD-K78078099
376252162	BRD-K77005535
376252161	BRD-K74471383
376252160	BRD-K73611456
376252159	BRD-K71967214
376252158	BRD-K70917850
376252157	BRD-K70361219
376252156	BRD-K63176249
376252155	BRD-K61127851
376252154	BRD-K60417358
376252153	BRD-K49958231
376252152	BRD-K49498771
376252151	BRD-K45228906
376252150	BRD-K43528203
376252149	BRD-K33373136
376252148	BRD-K26447856
376252147	BRD-K22963143
376252146	BRD-K14217280
376252145	BRD-K07412643
376252144	BRD-K07403285
376252143	BRD-K00687304
376252142	BRD-K89902539
376252141	BRD-K54246274
376252140	BRD-K50633742
376252139	BRD-K47390900
376252138	BRD-K41399547
376252137	BRD-K39930539
376252136	BRD-K31270634
376252135	BRD-K29112478
376252134	BRD-K20435597
376252133	BRD-K19861828
376252132	BRD-K17346422
376252131	BRD-K07610478
376252130	BRD-K01781406
376252129	BRD-K98313256
376252128	BRD-K93945116
376252127	BRD-K82628107
376252126	BRD-K81813099
376252125	BRD-K67471398
376252124	BRD-K59532109
376252123	BRD-K47963119
376252122	BRD-K46631761
376252121	BRD-K45848994
376252120	BRD-K42942120
376252119	BRD-K39027466
376252118	BRD-K30941171
376252117	BRD-K12261328
376252116	BRD-K11583912
376252115	BRD-K03107459
376252114	BRD-K02720455
376252113	BRD-K98466889
376252112	BRD-K98212502
376252111	BRD-K96903816
376252110	BRD-K96742509
376252109	BRD-K95605961
376252108	BRD-K93816275
376252107	BRD-K70696630
376252106	BRD-K05637261
376252105	BRD-K21031748
376252104	BRD-K92523103
376252103	BRD-K91641528
376252102	BRD-K91539735
376252101	BRD-K90162106
376252100	BRD-K88176535
376252099	BRD-K58630279
376252098	BRD-K61902181
376252097	BRD-K87621813
376252096	BRD-K80793847
376252095	BRD-K51537484
376252094	BRD-K85489586
376252093	BRD-K85123694
376252092	BRD-K87146231
376252091	BRD-K92842670
376252090	BRD-K84586204
376252089	BRD-K98408157
376252088	BRD-K47761112
376252087	BRD-K78228558
376252086	BRD-K70334625
376252085	BRD-K82217861
376252084	BRD-K97927436
376252083	BRD-K28634289
376252082	BRD-K80362655
376252081	BRD-K38393474
376252080	BRD-K11551867
376252079	BRD-K79225930
376252078	BRD-K20861156
376252077	BRD-K78272982
376252076	BRD-K76483214
376252075	BRD-K76058861
376252074	BRD-K40667730
376252073	BRD-K73621041
376252072	BRD-K19256365
376252071	BRD-K72014243
376252070	BRD-K71354958
376252069	BRD-K53787343
376252068	BRD-K69947829
376252067	BRD-K68195595
376252066	BRD-K43537989
376252065	BRD-K66748391
376252064	BRD-K66468932
376252063	BRD-K65896548
376252062	BRD-K65272316
376252061	BRD-K31004725
376252060	BRD-K62801617
376252059	BRD-K62189562
376252058	BRD-K61965534
376252057	BRD-K13465439
376252056	BRD-K60817713
376252055	BRD-K58999044
376252054	BRD-K29046493
376252053	BRD-K55293958
376252052	BRD-K54598220
376252051	BRD-K54051742
376252050	BRD-K52518196
376252049	BRD-K84438889
376252048	BRD-K87269565
376252047	BRD-K48719132
376252046	BRD-K47071092
376252045	BRD-K85654313
376252044	BRD-K60446528
376252043	BRD-K45336982
376252042	BRD-K45280746
376252041	BRD-K44923941
376252040	BRD-K44521151
376252039	BRD-K19316474
376252038	BRD-K42411114
376252037	BRD-K62717413
376252036	BRD-K42001678
376252035	BRD-K40886895
376252034	BRD-K74180217
376252033	BRD-K96196110
376252032	BRD-K52020538
376252031	BRD-K14805085
376252030	BRD-K35691352
376252029	BRD-K32355133
376252028	BRD-K32173944
376252027	BRD-K31449336
376252026	BRD-K31087928
376252025	BRD-K30857445
376252024	BRD-K30071589
376252023	BRD-K12083022
376252022	BRD-K71017910
376252021	BRD-K27865298
376252020	BRD-K27737914
376252019	BRD-K00540834
376252018	BRD-K25179202
376252017	BRD-K24251667
376252016	BRD-K38209686
376252015	BRD-K22905542
376252014	BRD-K22674439
376252013	BRD-K07294137
376252012	BRD-K20831273
376252011	BRD-K18449990
376252010	BRD-K18368603
376252009	BRD-K95550114
376252008	BRD-K16941941
376252007	BRD-K21464030
376252006	BRD-K14770643
376252005	BRD-K68979992
376252004	BRD-K13833921
376252003	BRD-K20818757
376252002	BRD-K13049100
376252001	BRD-K54054037
376252000	BRD-K01462028
376251999	BRD-K09969921
376251998	BRD-K89382118
376251997	BRD-K08736890
376251996	BRD-K08548982
376251995	BRD-K53219038
376251994	BRD-K06956443
376251993	BRD-K20312920
376251992	BRD-K04617235
376251991	BRD-K11038967
376251990	BRD-K04541086
376251989	BRD-K50639029
376251988	BRD-K03403405
376251987	BRD-K01490356
376251986	BRD-K00677476
376251985	BRD-K00472408
376251984	BRD-K99403167
376251983	BRD-K97004620
376251982	BRD-K95920875
376251981	BRD-K89735398
376251980	BRD-K76786089
376251979	BRD-K75777937
376251978	BRD-K63254043
376251977	BRD-K59407691
376251976	BRD-K57533187
376251975	BRD-K47533351
376251974	BRD-K39039558
376251973	BRD-K38161598
376251972	BRD-K23317702
376251971	BRD-K20054601
376251970	BRD-K12172001
376251969	BRD-K08185811
376251968	BRD-K00231187
376251967	BRD-K94806439
376251966	BRD-K91365738
376251965	BRD-K90966137
376251964	BRD-K89268918
376251963	BRD-K80640360
376251962	BRD-K78304624
376251961	BRD-K74596254
376251960	BRD-K74452368
376251959	BRD-K73280769
376251958	BRD-K73035154
376251957	BRD-K64849782
376251956	BRD-K63461952
376251955	BRD-K62634293
376251954	BRD-K61042252
376251953	BRD-K60349910
376251952	BRD-K56753828
376251951	BRD-K56247170
376251950	BRD-K53409996
376251949	BRD-K46198738
376251948	BRD-K42184053
376251947	BRD-K20696067
376251946	BRD-K20008576
376251945	BRD-K19979775
376251944	BRD-K19290646
376251943	BRD-K16883484
376251942	BRD-K14991481
376251941	BRD-K14792122
376251940	BRD-K10729468
376251939	BRD-K05664557
376251938	BRD-K05568148
376251937	BRD-K01994586
376251936	BRD-K34276691
376251935	BRD-K97590827
376251934	BRD-K92430443
376251933	BRD-K91453968
376251932	BRD-K81774363
376251931	BRD-K77886669
376251930	BRD-K69744662
376251929	BRD-K67501896
376251928	BRD-K64858072
376251927	BRD-K63864317
376251926	BRD-K63412944
376251925	BRD-K54878935
376251924	BRD-K45519322
376251923	BRD-K37654415
376251922	BRD-K36740797
376251921	BRD-K30996660
376251920	BRD-K28279302
376251919	BRD-K17620937
376251918	BRD-K97583177
376251917	BRD-K90520987
376251916	BRD-K90469888
376251915	BRD-K87606661
376251914	BRD-K87524796
376251913	BRD-K81900427
376251912	BRD-K79018602
376251911	BRD-K78864299
376251910	BRD-K77305522
376251909	BRD-K76776183
376251908	BRD-K72813550
376251907	BRD-K68523287
376251906	BRD-K67365881
376251905	BRD-K66082492
376251904	BRD-K65657809
376251903	BRD-K64800931
376251902	BRD-K58315766
376251901	BRD-K56502483
376251900	BRD-K55790091
376251899	BRD-K51962508
376251898	BRD-K51677664
376251897	BRD-K49035927
376251896	BRD-K45122718
376251895	BRD-K43782227
376251894	BRD-K40251424
376251893	BRD-K38997620
376251892	BRD-K38881540
376251891	BRD-K35460922
376251890	BRD-K30482537
376251889	BRD-K29947226
376251888	BRD-K29672047
376251887	BRD-K28399559
376251886	BRD-K26175146
376251885	BRD-K24900564
376251884	BRD-K18766283
376251883	BRD-K16146857
376251882	BRD-K11580268
376251881	BRD-K09286678
376251880	BRD-K96282070
376251879	BRD-K96068843
376251878	BRD-K95264666
376251877	BRD-K92585335
376251876	BRD-K92370483
376251875	BRD-K92281126
376251874	BRD-K91032555
376251873	BRD-K90964027
376251872	BRD-K90592064
376251871	BRD-K89434760
376251870	BRD-K85220453
376251869	BRD-K84763489
376251868	BRD-K82897700
376251867	BRD-K82232927
376251866	BRD-K81934010
376251865	BRD-K81629311
376251864	BRD-K80508716
376251863	BRD-K79260240
376251862	BRD-K74291860
376251861	BRD-K70949186
376251860	BRD-K70316771
376251859	BRD-K65872920
376251858	BRD-K63071729
376251857	BRD-K58405366
376251856	BRD-K57896207
376251855	BRD-K57465477
376251854	BRD-K51512388
376251853	BRD-K41789548
376251852	BRD-K36083791
376251851	BRD-K35454862
376251850	BRD-K22970588
376251849	BRD-K22593245
376251848	BRD-K17447392
376251847	BRD-K15376339
376251846	BRD-K12377225
376251845	BRD-K09325332
376251844	BRD-K08445919
376251843	BRD-K03603494
376251842	BRD-K02662224
376251841	BRD-K00665270
376251840	BRD-K80168919
376251839	BRD-K71435223
376251838	BRD-K70144945
376251837	BRD-K67802736
376251836	BRD-K57727731
376251835	BRD-K25269457
376251834	BRD-K90368801
376251833	BRD-K68439434
376251832	BRD-K65418062
376251831	BRD-K56598268
376251830	BRD-K34259464
376251829	BRD-K13966496
376251828	BRD-K12154696
376251827	BRD-M63464742
376251826	BRD-M30480750
376251825	BRD-K82307534
376251824	BRD-K38253395
376251823	BRD-K35263745
376251822	BRD-K19576713
376251821	BRD-K14452965
376251820	BRD-K99927969
376251819	BRD-K99926424
376251818	BRD-K99426856
376251817	BRD-K99324669
376251816	BRD-K98837453
376251815	BRD-K98605845
376251814	BRD-K98216292
376251813	BRD-K97070031
376251812	BRD-K96958693
376251811	BRD-K96121173
376251810	BRD-K95784951
376251809	BRD-K95615204
376251808	BRD-K95102630
376251807	BRD-K94621185
376251806	BRD-K94343208
376251805	BRD-K94186054
376251804	BRD-K94041545
376251803	BRD-K93891660
376251802	BRD-K92021942
376251801	BRD-K91614270
376251800	BRD-K91367650
376251799	BRD-K90962643
376251798	BRD-K90825879
376251797	BRD-K90784137
376251796	BRD-K90588452
376251795	BRD-K87796258
376251794	BRD-K87729978
376251793	BRD-K87407698
376251792	BRD-K87152860
376251791	BRD-K87127031
376251790	BRD-K87072760
376251789	BRD-K86877600
376251788	BRD-K86635050
376251787	BRD-K86025218
376251786	BRD-K85962891
376251785	BRD-K85812894
376251784	BRD-K85352273
376251783	BRD-K84064467
376251782	BRD-K83937929
376251781	BRD-K82737121
376251780	BRD-K81729851
376251779	BRD-K81130231
376251778	BRD-K80392046
376251777	BRD-K80276631
376251776	BRD-K79953477
376251775	BRD-K79843363
376251774	BRD-K79677693
376251773	BRD-K79019962
376251772	BRD-K78692306
376251771	BRD-K78429176
376251770	BRD-K77177426
376251769	BRD-K76951312
376251768	BRD-K76290485
376251767	BRD-K75945408
376251766	BRD-K75875675
376251765	BRD-K75811190
376251764	BRD-K75802910
376251763	BRD-K75508617
376251762	BRD-K74211698
376251761	BRD-K73439197
376251760	BRD-K73414794
376251759	BRD-K71645660
376251758	BRD-K70529232
376251757	BRD-K69737094
376251756	BRD-K69730537
376251755	BRD-K68650241
376251754	BRD-K68068728
376251753	BRD-K67586110
376251752	BRD-K67551121
376251751	BRD-K67288651
376251750	BRD-K66573905
376251749	BRD-K65464893
376251748	BRD-K64675181
376251747	BRD-K64254830
376251746	BRD-K64126295
376251745	BRD-K61605731
376251744	BRD-K61315424
376251743	BRD-K61290162
376251742	BRD-K61003752
376251741	BRD-K60498287
376251740	BRD-K59654128
376251739	BRD-K59266436
376251738	BRD-K58959304
376251737	BRD-K58729233
376251736	BRD-K58368607
376251735	BRD-K57783740
376251734	BRD-K56888861
376251733	BRD-K56685082
376251732	BRD-K56409485
376251731	BRD-K55866016
376251730	BRD-K55676727
376251729	BRD-K55234253
376251728	BRD-K54483829
376251727	BRD-K54432499
376251726	BRD-K54422792
376251725	BRD-K54351619
376251724	BRD-K53712589
376251723	BRD-K53032242
376251722	BRD-K52962223
376251721	BRD-K52526196
376251720	BRD-K52146756
376251719	BRD-K52013768
376251718	BRD-K51880550
376251717	BRD-K51745134
376251716	BRD-K49870709
376251715	BRD-K49539801
376251714	BRD-K49521880
376251713	BRD-K49326309
376251712	BRD-K49102753
376251711	BRD-K48723037
376251710	BRD-K46834174
376251709	BRD-K46632880
376251708	BRD-K46131754
376251707	BRD-K45809454
376251706	BRD-K44967925
376251705	BRD-K44214323
376251704	BRD-K44112980
376251703	BRD-K44009350
376251702	BRD-K44009023
376251701	BRD-K43290440
376251700	BRD-K43113889
376251699	BRD-K42996820
376251698	BRD-K42871729
376251697	BRD-K42503759
376251696	BRD-K42032398
376251695	BRD-K41019930
376251694	BRD-K40033104
376251693	BRD-K39509127
376251692	BRD-K39411031
376251691	BRD-K39299093
376251690	BRD-K38808370
376251689	BRD-K38801345
376251688	BRD-K38540186
376251687	BRD-K38059338
376251686	BRD-K37940373
376251685	BRD-K37717629
376251684	BRD-K37237889
376251683	BRD-K36957129
376251682	BRD-K36281908
376251681	BRD-K36173710
376251680	BRD-K35197916
376251679	BRD-K34974147
376251678	BRD-K34628773
376251677	BRD-K33870991
376251676	BRD-K33370241
376251675	BRD-K32657192
376251674	BRD-K32600031
376251673	BRD-K31383243
376251672	BRD-K30813120
376251671	BRD-K30546233
376251670	BRD-K30438679
376251669	BRD-K28210710
376251668	BRD-K26968506
376251667	BRD-K26780334
376251666	BRD-K26320463
376251665	BRD-K25831198
376251664	BRD-K25714946
376251663	BRD-K24814292
376251662	BRD-K24787139
376251661	BRD-K24561305
376251660	BRD-K24067222
376251659	BRD-K24062128
376251658	BRD-K23418670
376251657	BRD-K23302151
376251656	BRD-K22742324
376251655	BRD-K22452355
376251654	BRD-K22373877
376251653	BRD-K20181943
376251652	BRD-K20082064
376251651	BRD-K19989311
376251650	BRD-K19306557
376251649	BRD-K19011220
376251648	BRD-K17999501
376251647	BRD-K17895298
376251646	BRD-K17179163
376251645	BRD-K16781823
376251644	BRD-K16325875
376251643	BRD-K16246954
376251642	BRD-K16057085
376251641	BRD-K15745885
376251640	BRD-K15377057
376251639	BRD-K15077277
376251638	BRD-K15056911
376251637	BRD-K14501844
376251636	BRD-K13780468
376251635	BRD-K13580320
376251634	BRD-K13279421
376251633	BRD-K11463571
376251632	BRD-K11200354
376251631	BRD-K10926829
376251630	BRD-K09388400
376251629	BRD-K09325914
376251628	BRD-K08969384
376251627	BRD-K08519234
376251626	BRD-K07783469
376251625	BRD-K07607652
376251624	BRD-K07475301
376251623	BRD-K07086082
376251622	BRD-K06989169
376251621	BRD-K06437153
376251620	BRD-K05814053
376251619	BRD-K05786533
376251618	BRD-K05708496
376251617	BRD-K05355621
376251616	BRD-K04831733
376251615	BRD-K03839164
376251614	BRD-K03715616
376251613	BRD-K03372185
376251612	BRD-K03354573
376251611	BRD-K02065827
376251610	BRD-K01551645
376251609	BRD-K00539050
376251608	BRD-A99702332
376251607	BRD-A98825182
376251606	BRD-A91404865
376251605	BRD-A88592539
376251604	BRD-A88251024
376251603	BRD-A83197735
376251602	BRD-A81011490
376251601	BRD-A80522816
376251600	BRD-A75363756
376251599	BRD-A67874413
376251598	BRD-A63701488
376251597	BRD-A61899892
376251596	BRD-A60589515
376251595	BRD-A59046243
376251594	BRD-A56432867
376251593	BRD-A54593947
376251592	BRD-A53271750
376251591	BRD-A41228941
376251590	BRD-A39170214
376251589	BRD-A35430844
376251588	BRD-A34097118
376251587	BRD-A33295645
376251586	BRD-A31930399
376251585	BRD-A30524292
376251584	BRD-A29133008
376251583	BRD-A26627799
376251582	BRD-K07942776
376251581	BRD-A18573497
376251580	BRD-A03998849
376251579	BRD-A03997018
376251578	BRD-A02726762
376251577	BRD-A00353073
376251576	BRD-K97768048
376251575	BRD-K96348508
376251574	BRD-K95324701
376251573	BRD-K95299243
376251572	BRD-K93178925
376251571	BRD-K90001405
376251570	BRD-K89342097
376251569	BRD-K87043823
376251568	BRD-K86296659
376251567	BRD-K84485176
376251566	BRD-K84448966
376251565	BRD-K84239470
376251564	BRD-K83415210
376251563	BRD-K80258820
376251562	BRD-K77369420
376251561	BRD-K75787283
376251560	BRD-K70887435
376251559	BRD-K69601755
376251558	BRD-K67885281
376251557	BRD-K66509237
