cell	anatomy
A375	UBERON:0002097
A549	UBERON:0002048
H1975	UBERON:0002048
HEPG2	UBERON:0002107
HT29	UBERON:0000160
NCIH1975	UBERON:0002048
NCIH2073	UBERON:0002048
NCIH508	UBERON:0000059
NCIH596	UBERON:0002048
PC3	UBERON:0002367
SKBR3	UBERON:0000310
SUDHL4	UBERON:0001179
BJAB	UBERON:0002465
HBL1	UBERON:0002465
K562	UBERON:0002371
KMS34	UBERON:0001744
MINO	UBERON:0000178
NALM6	UBERON:0002465
OCILY10	UBERON:0002465
OCILY19	UBERON:0002465
OCILY3	UBERON:0002465
SKMEL5	UBERON:0002097
THP1	UBERON:0000178
TMD8	UBERON:0002465
CD34	UBERON:0002371
HL60	UBERON:0000178
U937	UBERON:0006558
MCF7	UBERON:0000310
22RV1	UBERON:0002367
A204	UBERON:0001630
AGS	UBERON:0000945
BC3C	UBERON:0001255
BEN	UBERON:0002048
BICR6	UBERON:0001043
BT474	UBERON:0000310
CAL29	UBERON:0001255
CJM	UBERON:0001255
COV434	UBERON:0000992
ES2	UBERON:0000992
G401	UBERON:0002113
GI1	UBERON:0000955
GP2D	UBERON:0001155
HCC1588	UBERON:0002048
HCC95	UBERON:0002048
HEC108	UBERON:0001295
HEC151	UBERON:0001295
HEC1A	UBERON:0001295
HEC251	UBERON:0001295
HEC265	UBERON:0001295
IGR37	UBERON:0002097
IM95	UBERON:0000945
JHH5	UBERON:0002107
JHH7	UBERON:0002107
LNCAP.FGC	UBERON:0002367
MDAMB468	UBERON:0000310
MELHO	UBERON:0002097
MKN45	UBERON:0002107
NCIH1437	UBERON:0002048
NCIH1573	UBERON:0002048
NCIH2110	UBERON:0002048
NCIH2172	UBERON:0002048
NCIH838	UBERON:0002048
NCIH841	UBERON:0002048
OAW28	UBERON:0000992
OC316	UBERON:0000992
OVK18	UBERON:0000992
OVTOKO	UBERON:0000992
RCC10RGB	UBERON:0002113
SH4	UBERON:0002097
SKES1	UBERON:0002481
SKMEL3	UBERON:0002097
SNU407	UBERON:0001155
T47D	UBERON:0000310
TC32	UBERON:0002481
TOV112D	UBERON:0000992
U251MG	UBERON:0000955
YAPC	UBERON:0001264
YH13	UBERON:0001017
ZR751	UBERON:0000310
U2OS	UBERON:0002481
WA09.AST	UBERON:0000358
XC.500	UBERON:0000483
XC.L10	UBERON:0000483
XC.P026	UBERON:0000483
XC.P031	UBERON:0000483
XC.P033	UBERON:0000483
XC.P091	UBERON:0000483
XC.P092	UBERON:0000483
XC.P901	UBERON:0000483
XC.P904	UBERON:0000483
XC.P905	UBERON:0000483
XC.P906	UBERON:0000483
XC.P907	UBERON:0000483
XC.P908	UBERON:0000483
XC.P909	UBERON:0000483
XC.P910	UBERON:0000483
XC.P911	UBERON:0000483
XC.P912	UBERON:0000483
XC.P914	UBERON:0000483
XC.P915	UBERON:0000483
XC.P922	UBERON:0000483
XC.P930	UBERON:0000483
XC.P931	UBERON:0000483
XC.P932	UBERON:0000483
XC.P933	UBERON:0000483
XC.P934	UBERON:0000483
XC.P935	UBERON:0000483
XC.P936	UBERON:0000483
HEK293T	UBERON:0002113
NPC.170	UBERON:0001017
NPC.177	UBERON:0001017
NPC.179	UBERON:0001017
NPC.215	UBERON:0001017
NPC.8330	UBERON:0001017
HIMG001	UBERON:0001017
HIMG002	UBERON:0001017
HA1E	UBERON:0002113
HCC515	UBERON:0002048
VCAP	UBERON:0002367
A673	UBERON:0001630
CL34	UBERON:0000059
CORL23	UBERON:0002048
COV644	UBERON:0000992
DV90	UBERON:0002048
EFO27	UBERON:0000992
H1299	UBERON:0002048
HCC15	UBERON:0002048
HCT116	UBERON:0000160
HT115	UBERON:0000059
JHUEM2	UBERON:0001295
LOVO	UBERON:0000160
MDST8	UBERON:0000160
NCIH1694	UBERON:0002048
NCIH1836	UBERON:0002048
NOMO1	UBERON:0000178
OV7	UBERON:0000992
PL21	UBERON:0000178
RKO	UBERON:0000160
RMGI	UBERON:0000992
RMUGS	UBERON:0000992
SKLU1	UBERON:0002048
SKM1	UBERON:0000178
SKMEL1	UBERON:0002097
SKMEL28	UBERON:0002097
SNGM	UBERON:0001295
SNU1040	UBERON:0000059
SNUC4	UBERON:0000160
SNUC5	UBERON:0000059
SW480	UBERON:0000059
SW620	UBERON:0000160
SW948	UBERON:0000160
T3M10	UBERON:0002048
TYKNU	UBERON:0000992
WSUDLCL2	UBERON:0006558
ASC	UBERON:0001013
NEU	UBERON:0001017
NPC	UBERON:0002384
PHH	UBERON:0002107
SKB	UBERON:0014892
HMELZ	UBERON:0000310
MCF10A.TP53.M	UBERON:0000310
MCF10A.WT.HP	UBERON:0000310
MCF10A	UBERON:0000310
HUH7	UBERON:0002107
C42	UBERON:0002367
DU145	UBERON:0002367
LNCAP	UBERON:0002367
SHSY5Y	UBERON:0001016
NPC	UBERON:0001017
CW2	UBERON:0001155
H2110	UBERON:0002048
MFE319	UBERON:0001295
OC314	UBERON:0000992
VMCUB1	UBERON:0001255
XC	UBERON:0000483
5637	UBERON:0001255
AN3CA	UBERON:0001295
H1563	UBERON:0002048
H1781	UBERON:0002048
HCC827	UBERON:0002048
J82	UBERON:0001255
LN229	UBERON:0000955
OVCAR8	UBERON:0000992
AALE	UBERON:0002048
LHSAR	UBERON:0002367
RWPE	UBERON:0002367
MCLF117SZ	
MCLF027CN	
MCLF033SZ	
MCLF051CN	
MCLF123SZ	
MCLF015CN	
MCLF162SZ	
MCLF022CN	
MCLF076SZ	
MCLF135CN	
MCLF037SZ	
MCLF126CN	
MCLF141SZ	
MCLF130CN	
MCLF040SZ	
MCLF054CN	
MCLF100SZ	
MCLF137CN	
MCLF035SZ	
MCLF056CN	
MCLF0067SZ	
HEK293	UBERON:0002113
HCC44	UBERON:0002048
MCF10A.EGFR.HD	UBERON:0000310
MCF10A.EGFR.HL	UBERON:0000310
MCF10A.IDH1.HR	UBERON:0000310
MCF10A.PTEN.M	UBERON:0000310
MCF10A.WTHP	UBERON:0000310
MCF10A.WTLP.GM	UBERON:0000310
MCF10A.WTLP	UBERON:0000310
HCT116.TP53.HR	UBERON:0000160
HCT116.TP53.M	UBERON:0000160
HCT116.WT	UBERON:0000160
MCF10A.BRCA1.HD	UBERON:0000310
MCF10A.KRAS.HG	UBERON:0000310
MCF10A.TP53.M.EGFR.HL	UBERON:0000310
MCF10A.TP53.M.KRAS.HG	UBERON:0000310
SKL	UBERON:0014892
HS27A	UBERON:0002481
HPTEC	UBERON:0002113
MCF10A.PIK3CA.HH	UBERON:0000310
MCF10A.WT	UBERON:0000310
XC.L100.H	UBERON:0000483
XC.L100.L	UBERON:0000483
XC.L100.M	UBERON:0000483
HUH751	UBERON:0002107
BT20	UBERON:0000310
HS578T	UBERON:0000310
MDAMB231	UBERON:0000310
HME1	UBERON:0000310
ASC.C	UBERON:0001013
HELA	UBERON:0000002
HUES3	UBERON:0000922
HUVEC	UBERON:0007798
JURKAT	UBERON:0000178
MNEU.E	UBERON:0002371
NPC.CAS9	UBERON:0002384
