cell	anatomy
NPC.TAK	UBERON:0002384
SKL.C	UBERON:0014892
HUVEC.A	UBERON:0002331
PHH.MGH	UBERON:0002107
1HAE	UBERON:0000310
HFL1	UBERON:0002048
IMR90	UBERON:0002048
NL20	UBERON:0002048
WI38	UBERON:0002048
293T	UBERON:0002113
HME	UBERON:0000310
HMLE	UBERON:0000310
N8	UBERON:0000310
HAP1.BRD4	UBERON:0002371
HAP1.CDK4	UBERON:0002371
HAP1.HDAC5	UBERON:0002371
HAP1.ITGA4	UBERON:0002371
HAP1.MAPK8	UBERON:0002371
HAP1.PIK3CA	UBERON:0002371
HAP1.PRKACA	UBERON:0002371
HAP1.PRKCQ	UBERON:0002371
HAP1.RELA	UBERON:0002371
HAP1.SRC	UBERON:0002371
HAP1.TP53	UBERON:0002371
HAP1	UBERON:0002371
NKDBA	UBERON:0002113
P1A82	
P2X2B2	UBERON:0002113
FIBRNPC	UBERON:0002384
XC.R10	UBERON:0000483
U266	UBERON:0000178
MCH58	UBERON:0002097
NCIH716	UBERON:0000160
DLD1	UBERON:0001155
SALE	UBERON:0002048
SKNSH	UBERON:0000955
HEKTE	UBERON:0002113
152NPC2	UBERON:0001017
221NPC1	UBERON:0001017
AG062632	UBERON:0002384
AG06840A	UBERON:0002384
AG078N11	UBERON:0002384
APP11NPC1	UBERON:0001017
ND347327	UBERON:0002097
SAD11NPC4	UBERON:0001017
SAD21NPC2	UBERON:0001017
SB1NPC3	UBERON:0001017
IPS-15-2	
IPS-3	
IPS-ND34732	
MICROGLIA-PSEN1	UBERON:0001017
NPC-2	UBERON:0001017
NPC-3	UBERON:0001017
NPC-4	UBERON:0001017
NPC-5	UBERON:0001017
NPC-6	UBERON:0001017
NPC-8	UBERON:0001017
A375.311	UBERON:0002097
A549.311	UBERON:0002048
AGS.311	UBERON:0000945
BICR6.311	UBERON:0001051
ES2.311	UBERON:0000992
HT29.311	UBERON:0001155
MCF7.311	UBERON:0000310
PC3.311B	UBERON:0002367
U251MG.311	UBERON:0000955
YAPC.311	UBERON:0001264
DANG.311	UBERON:0001264
HCC1806.311	UBERON:0000310
HS944T.311	UBERON:0002097
IPC298.311	UBERON:0002097
KELLY.311	UBERON:0000955
KYSE30.311	UBERON:0001043
LCLC103H.311	UBERON:0002048
SNGM.311	UBERON:0001295
SNU761.311	UBERON:0002107
TF1	UBERON:0001744
