cell_line	disease	doid
PC3	prostate adenocarcinoma	DOID:2526
A375	melanoma	DOID:1909
A549	lung cancer	DOID:1324
H1975	lung cancer	DOID:1324
HEPG2	carcinoma	DOID:305
HT29	colon adenocarcinoma	DOID:1520
NCIH1975	lung cancer	DOID:1324
NCIH2073	lung cancer	DOID:1324
NCIH508	colon adenocarcinoma	DOID:1520
NCIH596	lung cancer	DOID:1324
SKBR3	breast adenocarcinoma	DOID:3459
SUDHL4	lymphoma	DOID:0060058
HCC515	lung cancer	DOID:1324
MCF7	breast adenocarcinoma	DOID:3459
VCAP	prostate adenocarcinoma	DOID:2526
HL60	leukemia	DOID:1240
BT20	breast carcinoma	DOID:3459
HS578T	breast carcinoma	DOID:3459
MCF10A	breast carcinoma	DOID:3459
MDAMB231	breast adenocarcinoma	DOID:3459
BJAB	lymphoma	DOID:0060058
HBL1	lymphoma	DOID:0060058
K562	leukemia	DOID:1240
KMS34	myeloma	DOID:0070004
NALM6	leukemia	DOID:1240
OCILY10	lymphoma	DOID:0060058
OCILY19	lymphoma	DOID:0060058
OCILY3	lymphoma	DOID:0060058
SKMEL5	melanoma	DOID:1909
THP1	leukemia	DOID:1240
TMD8	lymphoma	DOID:0060058
MINO	lymphoma	DOID:0060058
U937	lymphoma	DOID:0060058
22RV1	prostate carcinoma	DOID:10286
A204	rhabdomyosarcoma	DOID:4051
AGS	gastric adenocarcinoma	DOID:3717
BC3C	bladder transitional cell carcinoma	DOID:4006
BEN	lung cancer	DOID:1324
BICR6	carcinoma	DOID:305
BT474	breast carcinoma	DOID:3459
CAL29	bladder transitional cell carcinoma	DOID:4006
CJM	melanoma	DOID:1909
COV434	granulosa cell tumor	DOID:2999
KYSE30	esophageal carcinoma	DOID:1107
LCLC103H	lung cancer	DOID:1324
SNU761	hepatocellular carcinoma	DOID:684
ES2	ovarian carcinoma	DOID:4001
G401	carcinoma	DOID:305
GI1	glioblastoma	DOID:3068
GP2D	colon adenocarcinoma	DOID:1520
HCC1588	lung cancer	DOID:1324
HCC95	lung cancer	DOID:1324
HEC108	endometrial cancer	DOID:363
