local_id	id_namespace	project_id_namespace	project_local_id	creation_time	granularity	persistent_id
CD34	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HL60	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
PC3	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
U937	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
MCF7	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
A375	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HEK293T	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HA1E	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HCC515	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
VCAP	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HEPG2	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HT29	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
A549	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
A673	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
AGS	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
CL34	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
CORL23	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
COV644	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
DV90	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
EFO27	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
H1299	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HCC15	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HCT116	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HEC108	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
HT115	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
JHUEM2	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
LOVO	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
MDST8	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
NCIH1694	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
NCIH1836	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
NCIH2073	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
NCIH508	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
NCIH596	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
NOMO1	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
OV7	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
PL21	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
RKO	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
RMGI	lincs-dcic	http://www.lincsproject.org/	LINCS L1000 Pilot		cfde_subject_granularity:4	
